appln_id;appln_auth;appln_nr;appln_kind;appln_filing_date;appln_filing_year;appln_nr_epodoc;appln_nr_original;ipr_type;receiving_office;internat_appln_id;int_phase;reg_phase;nat_phase;earliest_filing_date;earliest_filing_year;earliest_filing_id;earliest_publn_date;earliest_publn_year;earliest_pat_publn_id;granted;docdb_family_id;inpadoc_family_id;docdb_family_size;nb_citing_docdb_fam;nb_applicants;nb_inventors
488738004;"US";"201715497927";"A ";2017-04-26;2017;"US201715497927";"15497927";"PI";"  ";0;"N";"N";"Y";2016-07-14;2016;903837630;2018-01-18;2018;488738005;"N";60941088;10825155;2;0;1;3
492507000;"TW";"106108692";"A ";2017-03-16;2017;"TW20170108692";"106108692";"PI";"  ";0;"N";"N";"Y";2016-03-16;2016;483967668;2018-01-16;2018;492507001;"N";59851143;10708629;3;1;1;3
489931335;"US";"201715454526";"A ";2017-03-09;2017;"US201715454526";"15454526";"PI";"  ";424459769;"Y";"N";"Y";2013-06-04;2013;424459769;2018-02-15;2018;489931336;"N";61160637;12757862;1;0;7;7
490616586;"TW";"106114689";"A ";2017-05-03;2017;"TW20170114689";"106114689";"PI";"  ";0;"N";"N";"Y";2016-05-03;2016;904874936;2017-12-01;2017;490616587;"N";58699315;10582351;3;0;1;5
490617088;"TW";"106115374";"A ";2017-05-09;2017;"TW20170115374";"106115374";"PI";"  ";0;"N";"N";"Y";2016-05-12;2016;904890847;2017-12-16;2017;490617089;"N";58707411;10576362;7;0;1;6
492960176;"US";"201715617185";"A ";2017-06-08;2017;"US201715617185";"15617185";"PI";"  ";0;"N";"N";"Y";2016-10-11;2016;493610254;2018-04-12;2018;492960177;"N";61829842;10892768;3;0;3;3
485262314;"US";"201715643237";"A ";2017-07-06;2017;"US201715643237";"15643237";"PI";"  ";0;"N";"N";"Y";2012-04-13;2012;904500256;2017-10-26;2017;485262315;"N";49324975;9138072;59;270;1;7
485616486;"US";"201715581695";"A ";2017-04-28;2017;"US201715581695";"15581695";"PI";"  ";0;"N";"N";"Y";2016-04-28;2016;486087926;2017-11-02;2017;485616487;"N";60157091;10752054;1;0;1;5
493550353;"US";"201715790140";"A ";2017-10-23;2017;"US201715790140";"15790140";"PI";"  ";0;"N";"N";"Y";2016-10-26;2016;904910337;2018-04-26;2018;493550354;"N";61970487;10901640;1;0;1;4
486251290;"US";"201715596345";"A ";2017-05-16;2017;"US201715596345";"15596345";"PI";"  ";0;"N";"N";"Y";2012-06-20;2012;380771064;2017-11-16;2017;486251291;"Y";60296999;9854950;1;0;4;3
